iter	Passed	Remaining
128	4451	12802
129	4486	12768
130	4524	12743
131	4563	12721
132	4601	12696
133	4639	12671
134	4677	12645
135	4714	12617
136	4752	12591
137	4790	12566
138	4827	12537
139	4864	12509
140	4901	12478
141	4943	12462
142	4980	12434
143	5017	12405
144	5054	12374
145	5091	12346
146	5129	12317
147	5165	12286
148	5201	12253
149	5236	12217
150	5277	12197
151	5344	12236
152	5390	12225
153	5428	12197
154	5466	12168
155	5504	12137
156	5541	12105
157	5578	12075
158	5613	12039
159	5651	12008
160	5688	11976
161	5723	11941
162	5762	11913
163	5799	11881
164	5848	11873
165	5885	11841
166	5922	11808
167	5958	11775
168	5995	11742
169	6031	11708
170	6071	11680
171	6107	11647
172	6144	11613
173	6182	11583
174	6218	11548
175	6255	11515
176	6292	11482
177	6330	11451
178	6367	11418
179	6406	11388
180	6443	11356
181	6479	11322
182	6516	11287
183	6552	11253
184	6589	11219
185	6623	11181
186	6660	11148
187	6696	11113
188	6733	11080
189	6769	11044
190	6808	11014
191	6844	10980
192	6881	10946
193	6918	10912
194	6956	10879
195	6993	10847
196	7031	10814
197	7067	10779
198	7103	10744
199	7140	10710
200	7174	10672
201	7212	10640
202	7251	10609
203	7286	10572
204	7322	10537
205	7357	10501
206	7395	10468
207	7434	10436
208	7471	10403
209	7510	10371
210	7547	10337
211	7585	10304
212	7622	10271
213	7659	10236
214	7697	10203
215	7735	10170
216	7770	10134
217	7806	10097
218	7843	10064
219	7884	10034
220	7921	10000
221	7960	9968
222	7997	9934
223	8034	9899
224	8070	9863
225	8106	9828
226	8142	9792
227	8176	9754
228	8214	9721
229	8252	9687
230	8289	9653
231	8327	9620
232	8363	9584
233	8400	9549
234	8439	9516
235	8475	9481
236	8513	9446
237	8550	9412
238	8586	9377
239	8622	9341
240	8658	9305
241	8696	9271
242	8734	9237
243	8769	9200
244	8806	9166
245	8843	9130
246	8879	9095
247	8916	9060
248	8956	9028
249	8997	8997
250	9032	8960
251	9071	8927
252	9107	8891
253	9145	8857
254	9181	8821
255	9220	8787
256	9259	8755
257	9293	8717
258	9330	8681
259	9369	8648
260	9405	8613
261	9443	8578
262	9480	8543
263	9519	8510
264	9558	8476
265	9594	8440
266	9629	8403
267	9665	8366
268	9703	8332
269	9741	8298
270	9776	8261
271	9812	8224
272	9850	8190
273	9884	8153
274	9925	8121
275	9963	8086
276	10001	8052
277	10039	8017
278	10077	7982
279	10115	7948
280	10153	7913
281	10190	7877
282	10226	7841
283	10264	7806
284	10304	7773
285	10341	7737
286	10378	7702
287	10412	7664
288	10447	7628
289	10482	7590
290	10521	7556
291	10556	7519
292	10592	7483
293	10626	7445
294	10660	7407
295	10694	7370
296	10729	7333
297	10767	7298
298	10806	7264
299	10845	7230
300	10882	7194
301	10919	7158
302	10957	7123
303	10994	7088
304	11034	7055
305	11074	7020
306	11112	6986
307	11151	6951
308	11190	6917
309	11229	6882
310	11267	6847
311	11305	6812
312	11344	6777
313	11384	6743
314	11420	6707
315	11458	6672
316	11494	6635
317	11532	6600
318	11570	6565
319	11608	6529
320	11647	6494
321	11685	6459
322	11723	6424
323	11761	6389
324	11800	6354
325	11838	6318
326	11874	6282
327	11911	6246
328	11948	6210
329	11986	6174
330	12023	6138
331	12060	6103
332	12097	6067
333	12136	6031
334	12174	5996
335	12211	5960
336	12249	5924
337	12284	5887
338	12322	5852
339	12362	5817
340	12398	5781
341	12436	5745
342	12473	5709
343	12511	5673
344	12548	5637
345	12587	5602
346	12626	5567
347	12665	5532
348	12702	5495
349	12740	5460
350	12775	5423
351	12811	5386
352	12849	5350
353	12885	5314
354	12926	5279
355	12964	5244
356	13000	5207
357	13036	5171
358	13075	5135
359	13113	5099
360	13149	5063
361	13186	5027
362	13221	4990
363	13259	4953
364	13294	4917
365	13331	4880
366	13366	4844
367	13402	4807
368	13440	4771
369	13475	4734
370	13512	4698
371	13550	4662
372	13587	4626
373	13626	4590
374	13663	4554
375	13702	4518
376	13740	4482
377	13777	4446
378	13817	4411
379	13855	4375
380	13895	4340
381	13933	4304
382	13971	4268
383	14008	4231
384	14046	4195
385	14084	4159
386	14121	4123
387	14160	4087
388	14198	4051
389	14235	4015
390	14271	3978
391	14308	3942
392	14346	3906
393	14385	3870
394	14421	3833
395	14459	3797
396	14497	3761
397	14536	3725
398	14574	3689
399	14612	3653
400	14648	3616
401	14684	3579
402	14720	3543
403	14757	3506
404	14794	3470
405	14829	3433
406	14867	3397
407	14905	3361
408	14948	3325
409	14986	3289
410	15022	3253
411	15062	3217
412	15098	3180
413	15136	3144
414	15175	3108
415	15212	3071
416	15251	3035
417	15288	2999
418	15326	2962
419	15363	2926
420	15399	2889
421	15438	2853
422	15476	2817
423	15513	2780
424	15549	2744
425	15585	2707
426	15621	2670
427	15658	2634
428	15697	2597
429	15732	2561
430	15771	2524
431	15809	2488
432	15848	2452
433	15887	2416
434	15924	2379
435	15961	2343
436	15999	2306
437	16037	2270
438	16075	2233
439	16109	2196
440	16145	2159
441	16182	2123
442	16221	2087
443	16259	2050
444	16297	2014
445	16336	1977
446	16373	1941
447	16412	1904
448	16451	1868
449	16489	1832
450	16529	1795
451	16568	1759
452	16605	1722
453	16641	1686
454	16681	1649
455	16720	1613
456	16756	1576
457	16792	1539
458	16831	1503
459	16870	1467
460	16905	1430
461	16941	1393
462	16981	1357
463	17018	1320
464	17056	1283
465	17093	1247
466	17128	1210
467	17166	1173
468	17202	1137
469	17239	1100
470	17279	1063
471	17321	1027
472	17359	990
473	17395	954
474	17434	917
475	17472	880
476	17509	844
477	17546	807
478	17583	770
479	17621	734
480	17657	697
481	17695	660
482	17733	624
483	17771	587
484	17809	550
485	17848	514
486	17888	477
487	17924	440
488	17962	404
489	18000	367
490	18037	330
491	18074	293
492	18112	257
493	18151	220
494	18190	183
495	18228	147
496	18263	110
497	18299	73
498	18335	36
499	18374	0
