iter	MultiClass
198	0.1660772775
199	0.1651341888
200	0.1647291365
201	0.1644287354
202	0.1637728174
203	0.163071889
204	0.162109092
205	0.1614438348
206	0.1607795578
207	0.160319482
208	0.1593635271
209	0.1590481926
210	0.1586231405
211	0.1582184499
212	0.1581355927
213	0.1577832279
214	0.1574131881
215	0.1565386713
216	0.1561102483
217	0.1550566638
218	0.1543702593
219	0.1541136811
220	0.1532259213
221	0.1524667256
222	0.1515225291
223	0.1507424162
224	0.1505011898
225	0.1497820463
226	0.1489175627
227	0.1483313237
228	0.1476652154
229	0.1473378192
230	0.1467800661
231	0.1464492086
232	0.1460737013
233	0.1455430159
234	0.1445907466
235	0.1441876716
236	0.1437401869
237	0.1429334081
238	0.1423502237
239	0.1417274963
240	0.1411881158
241	0.1405958706
242	0.1397775919
243	0.1393810309
244	0.1389305824
245	0.1378380725
246	0.1375990119
247	0.1372285404
248	0.1368116443
249	0.1362185231
250	0.1358960318
251	0.1353422479
252	0.1350672496
253	0.1337452438
254	0.1334268957
255	0.132987743
256	0.1323215217
257	0.1319252608
258	0.1311952978
259	0.1309405109
260	0.1304650619
261	0.1301117641
262	0.1296850255
263	0.1293681617
264	0.1291811882
265	0.1287147184
266	0.128330327
267	0.1281438284
268	0.1274471372
269	0.1268069272
270	0.1266054658
271	0.1263687229
272	0.1259329771
273	0.1257893323
274	0.1254087639
275	0.1247715728
276	0.1243457069
277	0.1241915751
278	0.1238121775
279	0.1232698801
280	0.1228286373
281	0.1226090472
282	0.1220244891
283	0.1212336775
284	0.1206497312
285	0.1202748741
286	0.1196779122
287	0.1191690438
288	0.1188149603
289	0.118360411
290	0.1183340592
291	0.1175162576
292	0.1170863881
293	0.1165883966
294	0.116225587
295	0.1156472884
296	0.1152708048
297	0.1149488566
298	0.1144470535
299	0.114154247
300	0.1136399701
301	0.1134061227
302	0.1130311981
303	0.1125600787
304	0.1122771278
305	0.1118151967
306	0.1115350768
307	0.1109731821
308	0.1102035099
309	0.1099020651
310	0.1095505532
311	0.1092855635
312	0.1087341376
313	0.1083649701
314	0.108082282
315	0.1075824425
316	0.1073657164
317	0.1071208091
318	0.1066763311
319	0.1061892061
320	0.1057561591
321	0.1055922522
322	0.1053818983
323	0.105013835
324	0.1047210527
325	0.1043943422
326	0.1041760185
327	0.1037943645
328	0.103475242
329	0.1031463307
330	0.1030695375
331	0.1027723067
332	0.1026281469
333	0.1020117966
334	0.1016061182
335	0.1013344175
336	0.1010454863
337	0.1009553153
338	0.1008134604
339	0.1006564919
340	0.1001979024
341	0.1000603426
342	0.09993393263
343	0.09957880053
344	0.09933037178
345	0.09888382917
346	0.09862871142
347	0.09821442571
348	0.09800716955
349	0.09774984806
350	0.09752986297
351	0.09723789792
352	0.09709301279
353	0.09689223232
354	0.09636703181
355	0.0959639114
356	0.09584242444
357	0.0953948448
358	0.09501615193
359	0.09462109258
360	0.0944068693
361	0.09419202133
362	0.09395238416
363	0.09372720508
364	0.09347380769
365	0.09307308223
366	0.09274494341
367	0.09264773123
368	0.09234744997
369	0.09204028006
370	0.09157148945
371	0.09129845797
372	0.0908271076
373	0.09037107542
374	0.09022542661
375	0.09011452976
376	0.08984984358
377	0.08955249201
378	0.08921262281
379	0.08908876365
380	0.08883923566
381	0.08856150934
382	0.08834190265
383	0.08811994045
384	0.08780265582
385	0.08751517229
386	0.0872362708
387	0.08689751572
388	0.08659841034
389	0.08648015366
390	0.08642412969
391	0.08632366409
392	0.08609023917
393	0.08582361972
394	0.08564372506
395	0.08546970059
396	0.08522571053
397	0.0850897206
398	0.08486621706
399	0.08479007704
400	0.08452319914
401	0.08419893468
402	0.08387978507
403	0.08357376773
404	0.08330864338
405	0.08274145606
406	0.08265208247
407	0.0825367292
408	0.08224277476
409	0.08198239183
410	0.08164084915
411	0.08151614413
412	0.08135409301
413	0.08116333117
414	0.08089604234
415	0.08055503734
416	0.08031138883
417	0.08005153481
418	0.07978395657
419	0.07939567479
420	0.07922277944
421	0.07902322385
422	0.07896139152
423	0.07878607046
424	0.07851025169
425	0.078400711
426	0.07826263159
427	0.07808013524
428	0.07779949196
429	0.07760681333
430	0.07746455171
431	0.07721531816
432	0.0768674516
433	0.07665903427
434	0.0765410407
435	0.07636793153
436	0.07624660413
437	0.07604172578
438	0.07569001184
439	0.07550256148
440	0.07540646924
441	0.07520479221
442	0.07475920967
443	0.07457862147
444	0.07442427544
445	0.07427324585
446	0.07402007016
447	0.073751337
448	0.07354858688
449	0.07326361645
450	0.07305222693
451	0.07271754166
452	0.07254869441
453	0.07226586914
454	0.0718785906
455	0.0716007284
456	0.0714224176
457	0.07126630268
458	0.07117093998
459	0.07091037267
460	0.07084578184
461	0.07062746786
462	0.07053725662
463	0.07027181673
464	0.07010353908
465	0.06997793202
466	0.06964281623
467	0.06945089
468	0.06943519581
469	0.06931491896
470	0.0691296051
471	0.0690222151
472	0.06881830466
473	0.06866890318
474	0.06839334257
475	0.06821861326
476	0.06807191932
477	0.06787347953
478	0.06766830734
479	0.06745887129
480	0.06734877115
481	0.06724297487
482	0.06713198186
483	0.06688609392
484	0.06674438955
485	0.06657770943
486	0.06641772543
487	0.06632286428
488	0.06603887224
489	0.06589413583
490	0.06567094176
491	0.06539640742
492	0.06518585983
493	0.06490595989
494	0.06466203099
495	0.06458312655
496	0.06435679867
497	0.06405116485
498	0.06384412086
499	0.06365379332
